Timestamp,delta RT 412,delta RT 411,delta RT 410,delta RT 409,delta RT 408,delta RT 407,delta RT 415
12/9/2016 14:30,0.21712875,-0.106206894,-0.15604782,-0.13448334,0.37535095,-0.40123558,-0.005228043
12/9/2016 14:45,0.20597267,-0.08093262,-0.18055534,-0.19006538,0.35595322,-0.35761833,0.018829346
12/9/2016 15:00,0.20978546,-0.08052063,-0.17874718,-0.16254616,0.12510109,-0.43528748,-0.06341553
12/9/2016 15:15,0.21191216,0.029542923,-0.17852211,-0.22592163,0.32362175,-0.36210442,0.05438423
12/9/2016 15:30,0.16192627,0.07789993,-0.2172966,-0.15644264,0.27417183,-0.35772705,0.009635925
12/9/2016 15:45,0.20551491,0.28153992,-0.263443,-0.2143364,0.36009407,-0.3908062,-0.001052856
12/9/2016 16:00,0.40340996,0.20549202,-0.27910805,-0.14612007,0.31819534,-0.3598957,-0.011449814
12/9/2016 16:15,0.43643188,-0.016147614,-0.219347,-0.20120049,0.3163147,-0.4418335,-0.14908981
12/9/2016 16:30,0.39258003,0.098846436,-0.2561283,-0.13995552,0.19877815,-0.5193691,-0.027851105
12/9/2016 16:45,0.34304047,-0.017930984,-0.1920414,-0.26213455,0.31384087,-0.41174698,-0.02491951
12/9/2016 17:00,0.20434189,0.01823616,-0.22829247,-0.25182343,0.20786858,-0.4043064,-0.003608704
12/9/2016 17:15,0.13939095,0.098947525,-0.21383667,-0.16412163,0.4256668,-0.38199615,0.01458931
12/9/2016 17:30,0.2371769,0.08607674,-0.1880455,-0.12130165,0.41165543,-0.37700462,-0.05679512
12/9/2016 17:45,0.28779984,0.043483734,-0.21864128,-0.11497879,0.35482025,-0.39027405,-0.02374649
12/9/2016 18:00,0.3071537,0.080013275,-0.30755615,-0.076164246,0.13792992,-0.37182617,-0.04537964
12/9/2016 18:15,0.35445976,-0.040327072,-0.28779984,-0.13026237,0.269022,-0.25954056,-0.1339016
12/9/2016 18:30,0.3693657,0.013479233,-0.31139946,-0.06523895,0.177454,-0.38622665,-0.013446808
12/9/2016 18:45,0.37841797,0.11058617,-0.3133335,-0.16125298,0.2873268,-0.39349747,0.06883812
12/9/2016 19:00,0.50317955,0.19430542,-0.3304596,-0.08046532,0.29605293,-0.35699844,-0.052886963
12/9/2016 19:15,0.32785606,0.30373955,-0.2257824,-0.08834267,0.31897736,-0.48397446,-0.12790108
12/9/2016 19:30,0.15855789,0.35133934,-0.25290298,-0.10211182,0.29145432,-0.35050964,-0.16404915
12/9/2016 19:45,0.28149033,0.32159615,-0.14644623,-0.08316231,0.30890274,-0.1862793,-0.22248459
12/9/2016 20:00,0.083143234,0.22647285,-0.28426552,-0.06444168,0.32997513,-0.40193367,-0.10193062
12/9/2016 20:15,0.3902588,0.24539185,-0.19473457,-0.19493866,0.31549263,-0.39320374,-0.0955143
12/9/2016 20:30,0.40445328,0.32569313,-0.31437302,-0.04286766,0.17082024,-0.3539219,-0.1160717
12/9/2016 20:45,0.5580616,0.2688656,-0.12536621,0.08485603,0.2095375,-0.29472923,-0.1220665
12/9/2016 21:00,0.40885925,0.2424984,-0.25019646,0.069568634,0.045303345,-0.33345985,-0.110788345
12/9/2016 21:15,0.16013145,0.19883347,-0.50083923,-0.24110222,0.033721924,-0.35434532,-0.12727737
12/9/2016 21:30,0.2754116,-0.001617432,-0.42946434,-0.31539154,0.051145554,-0.12831497,-0.33226013
12/9/2016 21:45,0.24693108,-0.2009182,-0.36211014,-0.1488266,-0.17172241,-0.48546982,-0.41037178
12/9/2016 22:00,-0.036287308,-0.08612633,-0.24202156,0.06067276,-0.069496155,-0.4763813,-0.45713806
12/9/2016 22:15,0.019105911,-0.08114433,-0.17298889,-0.005529404,0.20263863,-0.60547066,-0.35686684
12/9/2016 22:30,0.24012947,0.10982704,-0.10877037,0.037765503,0.3449421,-0.4876728,-0.3015709
12/9/2016 22:45,0.39214706,0.32828712,-0.13796043,0.085905075,0.32260513,-0.4405899,-0.33600616
12/9/2016 23:00,0.4575596,0.28926468,-0.036302567,0.12601852,0.28198433,-0.41354752,-0.30239677
12/9/2016 23:15,0.51309586,0.17337608,-0.101861954,0.006113052,0.46578026,-0.4477291,-0.33638954
12/9/2016 23:30,0.4578495,0.2361126,0.12201309,0.19682693,0.30306816,-0.31964684,-0.33815765
12/9/2016 23:45,0.4182911,0.2001915,0.004970551,0.11328316,0.43742752,-0.28572655,-0.3384266
12/10/2016 0:00,0.22475052,0.01689148,-0.04257965,0.014801025,0.12613106,-0.27692604,-0.28266907
12/10/2016 0:15,0.015134811,0.21129227,0.06273842,0.21753693,0.15678787,-0.37848854,-0.3296566
12/10/2016 0:30,-0.044101715,0.6815357,-0.136446,0.08013344,0.33166504,-0.52085686,-0.31083488
12/10/2016 0:45,0.33649826,0.6361904,-0.110803604,0.007799149,0.14941978,-0.46739578,-0.25372505
12/10/2016 1:00,0.2930832,0.8512974,-0.253397,0.07645035,0.05222702,-0.43260574,-0.28570557
12/10/2016 1:15,0.255558,0.6316719,-0.27737045,0.01868248,0.14917946,-0.4276619,-0.29066086
12/10/2016 1:30,0.2981243,0.42352104,-0.19498253,0.135149,0.18465614,-0.45565796,-0.32100105
12/10/2016 1:45,0.23617935,0.511219,-0.4090767,-0.041261673,0.16901588,-0.39688492,-0.3510456
12/10/2016 2:00,0.3553753,0.33706284,-0.44625664,-0.023405075,0.22871017,-0.40485764,-0.19112587
12/10/2016 2:15,0.28358078,0.22725296,-0.25915527,0.2510929,0.1067009,-0.43258095,-0.19864845
12/10/2016 2:30,0.33161545,0.17553139,-0.22834587,0.3970127,0.20751381,-0.26945114,-0.3110466
12/10/2016 2:45,0.31724167,0.007225037,-0.26984215,0.3635006,0.22006035,-0.24043846,-0.39019585
12/10/2016 3:00,0.31934738,0.39438438,-0.2779255,0.3502922,0.23241425,-0.21958923,-0.3622799
12/10/2016 3:15,0.29485893,0.1839962,-0.37584877,0.29233932,0.021413803,-0.20753479,-0.4183693
12/10/2016 3:30,0.2643242,0.19017982,-0.33942604,0.19113731,0.1036644,-0.34563446,-0.34863472
12/10/2016 3:45,0.15156364,-0.13230705,-0.45034218,0.06660843,-0.028570175,-0.42430496,-0.3190155
12/10/2016 4:00,0.23779678,-0.30695152,-0.503397,0.12177658,0.004243851,-0.53149796,-0.10910416
12/10/2016 4:15,0.19254494,-0.09155655,-0.45875168,0.001022339,0.018379211,-0.41828537,-0.18083763
12/10/2016 4:30,0.2174511,-0.111055374,-0.48327255,0.01613617,0.12751007,-0.44259453,-0.13805771
12/10/2016 4:45,0.15258026,-0.014793396,-0.41222,0.055732727,0.1059494,-0.3863392,-0.1513176
12/10/2016 5:00,0.22322273,0.15554237,-0.3178234,0.028726578,0.1103363,-0.4731636,-0.28182793
12/10/2016 5:15,0.2776966,0.05299759,-0.31271744,0.11964607,0.076789856,-0.40659714,-0.29676056
12/10/2016 5:30,0.22130775,0.074949265,-0.41313744,0.036884308,-0.002336502,-0.4427147,-0.16653824
12/10/2016 5:45,0.267004,0.043260574,-0.42072105,0.008012772,0.0935173,-0.3156109,-0.23404694
12/10/2016 6:00,0.17743301,-0.007745743,-0.4179325,0.012008667,0.1816101,-0.49718475,-0.2324276
12/10/2016 6:15,0.10560417,0.02558899,-0.40129662,0.016088486,0.035743713,-0.43893433,-0.14484596
12/10/2016 6:30,0.29357147,0.13170242,-0.38620377,-0.07884216,0.043022156,-0.47515488,-0.18029976
12/10/2016 6:45,0.16521072,0.05493927,-0.38252258,0.068107605,-0.040124893,-0.48127747,-0.19000053
12/10/2016 7:00,0.275074,0.15598488,-0.31440163,0.061656952,0.178051,-0.3610878,-0.33901787
12/10/2016 7:15,0.25543404,0.1111393,-0.35688972,0.16841698,0.08465004,-0.3978672,-0.3165455
12/10/2016 7:30,0.26270676,-0.017652512,-0.29893303,0.09906006,0.06132698,-0.35805893,-0.29437065
12/10/2016 7:45,0.20547867,0.14766884,-0.33390808,-0.02783966,0.038219452,-0.26010704,-0.20733643
12/10/2016 8:00,0.23875809,-0.04129219,-0.14628029,-0.02994728,0.2016468,-0.27677917,-0.27240753
12/10/2016 8:15,0.29389954,0.09179878,-0.29697227,-0.020240784,0.096019745,-0.26932907,-0.17100525
12/10/2016 8:30,0.28643417,0.10635185,-0.28860092,0.011173248,0.15926743,-0.3979702,-0.18590164
12/10/2016 8:45,0.30363846,0.052043915,-0.30392647,-0.025943756,0.16249466,-0.34951973,-0.15351868
12/10/2016 9:00,0.31883812,0.17751694,-0.22637367,-0.005331039,0.1123085,-0.24158096,0.012170792
12/10/2016 9:15,0.2306881,0.14658165,-0.17301369,0.009439468,0.16248322,-0.28812027,-0.05035591
12/10/2016 9:30,0.018115997,0.20910454,-0.27902412,0.002113342,0.062994,-0.3229084,-0.22534943
12/10/2016 9:45,-0.007627487,-0.29060173,-0.32806587,0.086416245,0.098659515,-0.34981155,-0.27911186
12/10/2016 10:00,-0.011320114,-0.41080475,-0.3516388,-0.056962967,0.13964081,-0.28748322,-0.39112854
12/10/2016 10:15,-0.33358765,-0.32639313,-0.28116226,-0.33932686,0.30205154,0.0887146,-0.40795517
